Ticker,Company_Name,Sector,Industry,Market_Cap,Country
IP,International Paper Company,Consumer Cyclical,Packaging & Containers,20334753792.0,United States
IPG,"The Interpublic Group of Companies, Inc.",Communication Services,Advertising Agencies,8999164928.0,United States
IQV,IQVIA Holdings Inc.,Healthcare,Diagnostics & Research,38073970688.0,United States
IRM,Iron Mountain Incorporated,Real Estate,REIT - Specialty,24956622848.0,United States
ISRG,"Intuitive Surgical, Inc.",Healthcare,Medical Instruments & Supplies,203216748544.0,United States
IT,"Gartner, Inc.",Technology,Information Technology Services,17213231104.0,United States
ITW,Illinois Tool Works Inc.,Industrials,Specialty Industrial Machinery,72329895936.0,United States
IVZ,Invesco Ltd.,Financial Services,Asset Management,11510325248.0,United States
J,Jacobs Solutions Inc.,Industrials,Engineering & Construction,16742278144.0,United States
JBHT,"J.B. Hunt Transport Services, Inc.",Industrials,Integrated Freight & Logistics,18381215744.0,United States
JCI,Johnson Controls International plc,Industrials,Building Products & Equipment,75241242624.0,Ireland
JKHY,"Jack Henry & Associates, Inc.",Technology,Information Technology Services,13151675392.0,United States
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,485762072576.0,United States
JNPR,Unknown,Unknown,Unknown,,Unknown
JPM,JPMorgan Chase & Co.,Financial Services,Banks - Diversified,866749906944.0,United States
K,Kellanova,Consumer Defensive,Packaged Foods,29031499776.0,United States
KEY,KeyCorp,Financial Services,Banks - Regional,21261441024.0,United States
KEYS,"Keysight Technologies, Inc.",Technology,Scientific & Technical Instruments,36024508416.0,United States
KHC,The Kraft Heinz Company,Consumer Defensive,Packaged Foods,29011398656.0,United States
KIM,Kimco Realty Corporation,Real Estate,REIT - Retail,13394920448.0,United States
KLAC,KLA Corporation,Technology,Semiconductor Equipment & Materials,161259552768.0,United States
KMB,Kimberly-Clark Corporation,Consumer Defensive,Household & Personal Products,33799780352.0,United States
KMI,"Kinder Morgan, Inc.",Energy,Oil & Gas Midstream,60713709568.0,United States
KMX,"CarMax, Inc.",Consumer Cyclical,Auto & Truck Dealerships,5891832832.0,United States
KO,The Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,302332608512.0,United States
KR,The Kroger Co.,Consumer Defensive,Grocery Stores,42000543744.0,United States
L,Loews Corporation,Financial Services,Insurance - Property & Casualty,21035112448.0,United States
LDOS,"Leidos Holdings, Inc.",Technology,Information Technology Services,23814551552.0,United States
LEN,Lennar Corporation,Consumer Cyclical,Residential Construction,29811861504.0,United States
LH,Labcorp Holdings Inc.,Healthcare,Diagnostics & Research,21601013760.0,United States
LKQ,LKQ Corporation,Consumer Cyclical,Auto Parts,7428054528.0,United States
LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,894296326144.0,United States
LMT,Lockheed Martin Corporation,Industrials,Aerospace & Defense,108649971712.0,United States
LNT,Alliant Energy Corporation,Utilities,Utilities - Regulated Electric,16651937792.0,United States
LOW,"Lowe's Companies, Inc.",Consumer Cyclical,Home Improvement Retail,137332146176.0,United States
LRCX,Lam Research Corporation,Technology,Semiconductor Equipment & Materials,205220413440.0,United States
LULU,lululemon athletica inc.,Consumer Cyclical,Apparel Retail,21937434624.0,Canada
LUV,Southwest Airlines Co.,Industrials,Airlines,19930873856.0,United States
LVS,Las Vegas Sands Corp.,Consumer Cyclical,Resorts & Casinos,46047309824.0,United States
LYB,LyondellBasell Industries N.V.,Basic Materials,Specialty Chemicals,13608787968.0,United States
MA,Mastercard Incorporated,Financial Services,Credit Services,488564162560.0,United States
MAA,"Mid-America Apartment Communities, Inc.",Real Estate,REIT - Residential,15724112896.0,United States
MAR,"Marriott International, Inc.",Consumer Cyclical,Lodging,78130995200.0,United States
MAS,Masco Corporation,Industrials,Building Products & Equipment,13076852736.0,United States
MCD,McDonald's Corporation,Consumer Cyclical,Restaurants,221067526144.0,United States
MCHP,Microchip Technology Incorporated,Technology,Semiconductors,36399095808.0,United States
MCK,McKesson Corporation,Healthcare,Medical Distribution,99250036736.0,United States
MCO,Moody's Corporation,Financial Services,Financial Data & Stock Exchanges,87370973184.0,United States
MDLZ,"Mondelez International, Inc.",Consumer Defensive,Confectioners,70856450048.0,United States
MDT,Medtronic plc,Healthcare,Medical Devices,129877704704.0,Ireland
MET,"MetLife, Inc.",Financial Services,Insurance - Life,51925233664.0,United States
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,1680687759360.0,United States
MGM,MGM Resorts International,Consumer Cyclical,Resorts & Casinos,9660247040.0,United States
MHK,"Mohawk Industries, Inc.",Consumer Cyclical,"Furnishings, Fixtures & Appliances",6753738752.0,United States
MKC,"McCormick & Company, Incorporated",Consumer Defensive,Packaged Foods,17068691456.0,United States
MLM,"Martin Marietta Materials, Inc.",Basic Materials,Building Materials,37523103744.0,United States
MMC,"Marsh & McLennan Companies, Inc.",Financial Services,Insurance Brokers,89278930944.0,United States
MMM,3M Company,Industrials,Conglomerates,87329972224.0,United States
MNST,Monster Beverage Corporation,Consumer Defensive,Beverages - Non-Alcoholic,72240947200.0,United States
MO,"Altria Group, Inc.",Consumer Defensive,Tobacco,97618460672.0,United States
MOS,The Mosaic Company,Basic Materials,Agricultural Inputs,7503521792.0,United States
MPC,Marathon Petroleum Corporation,Energy,Oil & Gas Refining & Marketing,57660493824.0,United States
MRK,"Merck & Co., Inc.",Healthcare,Drug Manufacturers - General,247105699840.0,United States
MRO,Unknown,Unknown,Unknown,,Unknown
MS,Morgan Stanley,Financial Services,Capital Markets,282280067072.0,United States
MSCI,MSCI Inc.,Financial Services,Financial Data & Stock Exchanges,41537396736.0,United States
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,3649833271296.0,United States
MSI,"Motorola Solutions, Inc.",Technology,Communication Equipment,61878349824.0,United States
MTB,M&T Bank Corporation,Financial Services,Banks - Regional,30613153792.0,United States
MTD,Mettler-Toledo International Inc.,Healthcare,Diagnostics & Research,28454895616.0,United States
MU,"Micron Technology, Inc.",Technology,Semiconductors,277871362048.0,United States
NCLH,Norwegian Cruise Line Holdings Ltd.,Consumer Cyclical,Travel Services,8699971584.0,United States
NDAQ,"Nasdaq, Inc.",Financial Services,Financial Data & Stock Exchanges,51526815744.0,United States
NDSN,Nordson Corporation,Industrials,Specialty Industrial Machinery,13248522240.0,United States
NEE,"NextEra Energy, Inc.",Utilities,Utilities - Regulated Electric,167754219520.0,United States
NEM,Newmont Corporation,Basic Materials,Gold,97762017280.0,United States
NFLX,"Netflix, Inc.",Communication Services,Entertainment,410130513920.0,United States
NI,NiSource Inc.,Utilities,Utilities - Regulated Gas,19553968128.0,United States
NKE,"NIKE, Inc.",Consumer Cyclical,Footwear & Accessories,93924917248.0,United States
NOC,Northrop Grumman Corporation,Industrials,Aerospace & Defense,79260368896.0,United States
NOW,"ServiceNow, Inc.",Technology,Software - Application,177661050880.0,United States
NRG,"NRG Energy, Inc.",Utilities,Utilities - Independent Power Producers,31743928320.0,United States
NSC,Norfolk Southern Corporation,Industrials,Railroads,65745281024.0,United States
NTAP,"NetApp, Inc.",Technology,Software - Infrastructure,23461148672.0,United States
NTRS,Northern Trust Corporation,Financial Services,Asset Management,25451284480.0,United States
NUE,Nucor Corporation,Basic Materials,Steel,36457185280.0,United States
NVDA,NVIDIA Corporation,Technology,Semiconductors,4517586272256.0,United States
NVR,"NVR, Inc.",Consumer Cyclical,Residential Construction,20552962048.0,United States
NWSA,News Corporation,Communication Services,Entertainment,15033954304.0,United States
NXPI,NXP Semiconductors N.V.,Technology,Semiconductors,57736761344.0,Netherlands
O,Realty Income Corporation,Real Estate,REIT - Retail,52728999936.0,United States
OKE,"ONEOK, Inc.",Energy,Oil & Gas Midstream,47187615744.0,United States
OMC,Omnicom Group Inc.,Communication Services,Advertising Agencies,23213363200.0,United States
ON,ON Semiconductor Corporation,Technology,Semiconductors,23057952768.0,United States
ORCL,Oracle Corporation,Technology,Software - Infrastructure,628713783296.0,United States
ORLY,"O'Reilly Automotive, Inc.",Consumer Cyclical,Auto Parts,83004227584.0,United States
